date,sex,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,geoRegion,type,type_variant,vaccine,data_completeness,version,timeframe_all
202151,female,not_vaccinated,43,604,1361210,3.16,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202151,female,unknown,9,399,NA,NA,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202151,male,fully_vaccinated,35,310,2886477,1.21,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202151,male,partially_vaccinated,1,54,66044,1.51,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202151,male,not_vaccinated,28,707,1369446,2.04,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202151,male,unknown,8,455,NA,NA,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202151,unknown,fully_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202151,unknown,partially_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202151,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202151,unknown,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202152,female,fully_vaccinated,21,282,2960859,0.71,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202152,female,partially_vaccinated,2,43,71535,2.8,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202152,female,not_vaccinated,40,644,1354994,2.95,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202152,female,unknown,5,404,NA,NA,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202152,male,fully_vaccinated,26,336,2893622,0.9,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202152,male,partially_vaccinated,0,54,65035,0,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202152,male,not_vaccinated,30,737,1363310,2.2,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202152,male,unknown,8,463,NA,NA,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202152,unknown,fully_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202152,unknown,partially_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202152,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202152,unknown,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202201,female,fully_vaccinated,12,294,2976005,0.4,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202201,female,partially_vaccinated,0,43,70281,0,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202201,female,not_vaccinated,34,678,1341102,2.54,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202201,female,unknown,10,414,NA,NA,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202201,male,fully_vaccinated,12,348,2908313,0.41,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
