date,geoRegion,ageRange,sex,cases,hosps,deaths
202018,SO,40 - 49,female,2,0,0
202018,SO,40 - 49,unknown,0,0,0
202018,SO,50 - 59,male,0,0,0
202018,SO,50 - 59,female,1,0,0
202018,SO,50 - 59,unknown,0,0,0
202018,SO,60 - 69,male,1,1,0
202018,SO,60 - 69,female,1,0,0
202018,SO,60 - 69,unknown,0,0,0
202018,SO,70 - 79,male,0,0,0
202018,SO,70 - 79,female,1,1,0
202018,SO,70 - 79,unknown,0,0,0
202018,SO,80+,male,0,0,0
202018,SO,80+,female,0,0,0
202018,SO,80+,unknown,0,0,0
202018,SO,unknown,male,0,0,0
202018,SO,unknown,female,0,0,0
202018,SO,unknown,unknown,0,0,0
202018,SZ,0 - 9,male,0,0,0
202018,SZ,0 - 9,female,0,0,0
202018,SZ,0 - 9,unknown,0,0,0
202018,SZ,10 - 19,male,0,0,0
202018,SZ,10 - 19,female,0,0,0
202018,SZ,10 - 19,unknown,0,0,0
202018,SZ,20 - 29,male,2,0,0
202018,SZ,20 - 29,female,0,0,0
202018,SZ,20 - 29,unknown,0,0,0
202018,SZ,30 - 39,male,2,1,1
202018,SZ,30 - 39,female,0,0,0
202018,SZ,30 - 39,unknown,0,0,0
202018,SZ,40 - 49,male,0,0,1
202018,SZ,40 - 49,female,0,0,0
202018,SZ,40 - 49,unknown,0,0,0
202018,SZ,50 - 59,male,2,0,0
202018,SZ,50 - 59,female,2,0,0
202018,SZ,50 - 59,unknown,0,0,0
202018,SZ,60 - 69,male,1,0,0
202018,SZ,60 - 69,female,0,0,0
202018,SZ,60 - 69,unknown,0,0,0
202018,SZ,70 - 79,male,0,0,1
202018,SZ,70 - 79,female,0,0,0
202018,SZ,70 - 79,unknown,0,0,0
202018,SZ,80+,male,0,0,0
202018,SZ,80+,female,0,0,0
202018,SZ,80+,unknown,0,0,0
202018,SZ,unknown,male,0,0,0
202018,SZ,unknown,female,0,0,0
202018,SZ,unknown,unknown,0,0,0
202018,TG,0 - 9,male,0,0,0
202018,TG,0 - 9,female,0,0,0
202018,TG,0 - 9,unknown,0,0,0
202018,TG,10 - 19,male,0,0,0
202018,TG,10 - 19,female,0,0,0
202018,TG,10 - 19,unknown,0,0,0
202018,TG,20 - 29,male,1,0,0
202018,TG,20 - 29,female,1,0,0
202018,TG,20 - 29,unknown,0,0,0
202018,TG,30 - 39,male,0,0,0
202018,TG,30 - 39,female,0,0,0
202018,TG,30 - 39,unknown,0,0,0
202018,TG,40 - 49,male,0,0,0
202018,TG,40 - 49,female,1,0,0
202018,TG,40 - 49,unknown,0,0,0
202018,TG,50 - 59,male,0,0,0
202018,TG,50 - 59,female,0,0,0
202018,TG,50 - 59,unknown,0,0,0
202018,TG,60 - 69,male,1,0,0
202018,TG,60 - 69,female,1,1,0
202018,TG,60 - 69,unknown,0,0,0
202018,TG,70 - 79,male,0,0,0
202018,TG,70 - 79,female,0,0,0
202018,TG,70 - 79,unknown,0,0,0
202018,TG,80+,male,0,0,0
202018,TG,80+,female,1,0,0
202018,TG,80+,unknown,0,0,0
202018,TG,unknown,male,0,0,0
202018,TG,unknown,female,0,0,0
202018,TG,unknown,unknown,0,0,0
202018,TI,0 - 9,male,1,0,0
202018,TI,0 - 9,female,1,0,0
202018,TI,0 - 9,unknown,0,0,0
202018,TI,10 - 19,male,0,0,0
202018,TI,10 - 19,female,1,0,0
202018,TI,10 - 19,unknown,0,0,0
202018,TI,20 - 29,male,3,0,0
202018,TI,20 - 29,female,3,0,0
202018,TI,20 - 29,unknown,0,0,0
202018,TI,30 - 39,male,5,0,0
202018,TI,30 - 39,female,1,1,0
202018,TI,30 - 39,unknown,0,0,0
202018,TI,40 - 49,male,2,0,0
202018,TI,40 - 49,female,5,0,0
202018,TI,40 - 49,unknown,0,0,0
202018,TI,50 - 59,male,4,0,0
202018,TI,50 - 59,female,8,0,0
202018,TI,50 - 59,unknown,0,0,0
202018,TI,60 - 69,male,1,1,2
202018,TI,60 - 69,female,2,0,0
202018,TI,60 - 69,unknown,0,0,0
202018,TI,70 - 79,male,2,0,2
202018,TI,70 - 79,female,2,0,1
202018,TI,70 - 79,unknown,0,0,0
202018,TI,80+,male,2,3,2
202018,TI,80+,female,13,3,4
202018,TI,80+,unknown,0,0,0
202018,TI,unknown,male,0,0,0
202018,TI,unknown,female,0,0,0
202018,TI,unknown,unknown,0,0,0
202018,UR,0 - 9,male,0,0,0
202018,UR,0 - 9,female,0,0,0
202018,UR,0 - 9,unknown,0,0,0
202018,UR,10 - 19,male,0,0,0
202018,UR,10 - 19,female,0,0,0
202018,UR,10 - 19,unknown,0,0,0
202018,UR,20 - 29,male,0,0,0
202018,UR,20 - 29,female,1,0,0
202018,UR,20 - 29,unknown,0,0,0
202018,UR,30 - 39,male,0,0,0
202018,UR,30 - 39,female,0,0,0
202018,UR,30 - 39,unknown,0,0,0
202018,UR,40 - 49,male,0,0,0
202018,UR,40 - 49,female,0,0,0
202018,UR,40 - 49,unknown,0,0,0
202018,UR,50 - 59,male,0,0,0
202018,UR,50 - 59,female,1,0,0
202018,UR,50 - 59,unknown,0,0,0
202018,UR,60 - 69,male,1,0,0
202018,UR,60 - 69,female,1,0,0
202018,UR,60 - 69,unknown,0,0,0
202018,UR,70 - 79,male,0,0,0
202018,UR,70 - 79,female,0,0,0
202018,UR,70 - 79,unknown,0,0,0
202018,UR,80+,male,0,0,1
202018,UR,80+,female,3,0,0
202018,UR,80+,unknown,0,0,0
202018,UR,unknown,male,0,0,0
202018,UR,unknown,female,0,0,0
202018,UR,unknown,unknown,0,0,0
202018,VD,0 - 9,male,3,1,0
202018,VD,0 - 9,female,1,0,0
202018,VD,0 - 9,unknown,0,0,0
202018,VD,10 - 19,male,5,0,0
202018,VD,10 - 19,female,1,0,0
202018,VD,10 - 19,unknown,0,0,0
202018,VD,20 - 29,male,7,1,0
202018,VD,20 - 29,female,10,1,0
202018,VD,20 - 29,unknown,0,0,0
202018,VD,30 - 39,male,13,0,0
202018,VD,30 - 39,female,11,0,0
202018,VD,30 - 39,unknown,0,0,0
202018,VD,40 - 49,male,4,0,0
202018,VD,40 - 49,female,6,0,0
202018,VD,40 - 49,unknown,0,0,0
202018,VD,50 - 59,male,6,1,0
202018,VD,50 - 59,female,9,0,0
202018,VD,50 - 59,unknown,0,0,0
202018,VD,60 - 69,male,5,1,0
202018,VD,60 - 69,female,5,0,0
202018,VD,60 - 69,unknown,0,0,0
202018,VD,70 - 79,male,5,1,3
202018,VD,70 - 79,female,2,0,1
202018,VD,70 - 79,unknown,0,0,0
202018,VD,80+,male,1,1,5
202018,VD,80+,female,5,1,9
202018,VD,80+,unknown,0,0,0
202018,VD,unknown,male,1,0,0
202018,VD,unknown,female,0,0,0
202018,VD,unknown,unknown,0,0,0
202018,VS,0 - 9,male,2,0,0
202018,VS,0 - 9,female,0,0,0
202018,VS,0 - 9,unknown,0,0,0
202018,VS,10 - 19,male,0,0,0
202018,VS,10 - 19,female,0,0,0
202018,VS,10 - 19,unknown,0,0,0
202018,VS,20 - 29,male,1,0,0
202018,VS,20 - 29,female,3,0,0
202018,VS,20 - 29,unknown,0,0,0
202018,VS,30 - 39,male,4,0,0
202018,VS,30 - 39,female,6,0,0
202018,VS,30 - 39,unknown,0,0,0
202018,VS,40 - 49,male,1,0,0
202018,VS,40 - 49,female,4,0,0
202018,VS,40 - 49,unknown,0,0,0
202018,VS,50 - 59,male,3,0,0
202018,VS,50 - 59,female,9,0,0
202018,VS,50 - 59,unknown,0,0,0
202018,VS,60 - 69,male,1,0,0
202018,VS,60 - 69,female,4,0,1
202018,VS,60 - 69,unknown,0,0,0
202018,VS,70 - 79,male,2,0,1
202018,VS,70 - 79,female,1,0,0
202018,VS,70 - 79,unknown,0,0,0
202018,VS,80+,male,3,1,4
202018,VS,80+,female,5,0,3
202018,VS,80+,unknown,0,0,0
202018,VS,unknown,male,0,0,0
202018,VS,unknown,female,0,0,0
202018,VS,unknown,unknown,0,0,0
202018,ZG,0 - 9,male,0,0,0
202018,ZG,0 - 9,female,0,0,0
202018,ZG,0 - 9,unknown,0,0,0
202018,ZG,10 - 19,male,0,0,0
